"","Country","Year","Unemployment_rate","GDP_constant_billions","GDP_current_billions"
"372","ALB",2011,13.481,10.6854457920183,12.890760315146
"373","ALB",2012,13.376,10.8368845031437,12.319834195331
"374","ALB",2013,15.866,10.9454719867318,12.7762244969718
"375","ALB",2014,18.055,11.1396937888124,13.2281475161168
"376","ALB",2015,17.193,11.3868531130189,11.3868531130189
"377","ALB",2016,15.418,11.7643250942129,11.8611998308396
"378","ALB",2017,13.616,12.2116751696845,13.0197262117369
"379","ALB",2018,12.304,12.702504600374,15.1564240151977
"380","ALB",2019,11.466,12.9676963127715,15.4018261272539
"381","ALB",2020,NA,12.539492342004,15.1627342052462
"382","ALB",2021,NA,13.6565765055665,17.9305651188176
"383","ALB",2022,NA,14.3197947126268,18.9163788605488
"384","ALB",NA,NA,NA,NA
"385","AND",1960,NA,NA,NA
"386","AND",1961,NA,NA,NA
"387","AND",1962,NA,NA,NA
"388","AND",1963,NA,NA,NA
"389","AND",1964,NA,NA,NA
"390","AND",1965,NA,NA,NA
"391","AND",1966,NA,NA,NA
"392","AND",1967,NA,NA,NA
"393","AND",1968,NA,NA,NA
"394","AND",1969,NA,NA,NA
"395","AND",1970,NA,0.859122124413545,0.0786177110965325
"396","AND",1971,NA,0.899066709998028,0.0894066081458151
"397","AND",1972,NA,0.972338340647158,0.113414397365635
"398","AND",1973,NA,1.04806859341379,0.150841639297444
"399","AND",1974,NA,1.10695736389263,0.186557081998137
"400","AND",1975,NA,1.11295934936584,0.220112572205331
"401","AND",1976,NA,1.14972915617762,0.227283850831271
"402","AND",1977,NA,1.18236508710575,0.253997897226968
"403","AND",1978,NA,1.19966309044552,0.308020261164149
"404","AND",1979,NA,1.20016163677786,0.411548748354729
"405","AND",1980,NA,1.22666993822931,0.446377776798001
"406","AND",1981,NA,1.22504491322888,0.388983266199886
"407","AND",1982,NA,1.2403146216613,0.375914743581006
"408","AND",1983,NA,1.26226965796567,0.327850042515872
"409","AND",1984,NA,1.28479721654277,0.330073080637098
"410","AND",1985,NA,1.31462292354333,0.346742714675152
